1,Johnson | Calvin,
2,Green | A.J.,
3,Bryant | Dez,
4,Marshall | Brandon,
5,Jones | Julio,
6,Thomas | Demaryius,
7,White | Roddy,
8,Jackson | Vincent,
9,Johnson | Andre,
10,Cobb | Randall,
11,Fitzgerald | Larry,
12,Welker | Wes,
13,Cruz | Victor,
14,Colston | Marques,
15,Wayne | Reggie,
16,Wallace | Mike,
17,Amendola | Danny,
18,Nicks | Hakeem,
19,Smith | Steve (Car),
20,Decker | Eric,
21,Bowe | Dwayne,
22,Jones | James,
23,Brown | Antonio,
24,Nelson | Jordy,
25,Garcon | Pierre,
26,Shorts | Cecil,
27,Jackson | DeSean,
28,Smith | Torrey,
29,Jennings | Greg,
30,(Rookie) Austin | Tavon,
31,Boldin | Anquan,
32,Johnson | Steve,
33,Rice | Sidney,
34,Hilton | T.Y.,
35,Austin | Miles,
36,Williams | Mike (TB),
37,Moore | Lance,
38,Britt | Kenny,
39,Sanders | Emmanuel,
40,Moore | Denarius,
41,Givens | Chris,
42,Gordon | Josh,
43,Jeffery | Alshon,
44,Brown | Vincent,
45,Floyd | Michael,
46,Tate | Golden,
47,Floyd | Malcom,
48,Randle | Rueben,
49,Broyles | Ryan,
50,Wright | Kendall,
51,(Rookie) Hopkins | DeAndre,
52,Roberts | Andre,
53,(Rookie) Thompkins | Kenbrell,
54,Hartline | Brian,
55,Blackmon | Justin,
56,Little | Greg,
57,Washington | Nate,
58,Moss | Santana,
59,Jones | Jacoby,
60,Heyward-Bey | Darrius,
