Name,Team,Year,Games Plyd,Rush,Rush Yards,Rush TD,Target,Catch,Catch yards,Catch TD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin | Miles,DAL,2012,16,,,,119,66,943,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin | Terrence,WAS,2010,5,,,,5,3,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avant | Jason,PHI,2006,5,,,,15,7,68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avant | Jason,PHI,2007,15,1,1,,33,23,267,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avant | Jason,PHI,2008,15,,,,57,32,377,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avant | Jason,PHI,2009,16,,,,58,41,587,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avant | Jason,PHI,2010,16,,,,74,51,573,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avant | Jason,PHI,2011,16,,,,81,52,679,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avant | Jason,PHI,2012,14,,,,76,53,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery | Donnie,IND,2012,16,4,9,,124,60,781,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery | Donnie,STL,2008,15,10,69,1,103,53,674,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery | Donnie,STL,2009,16,4,30,,97,47,589,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery | Donnie,TEN,2011,8,,,,11,3,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker | Dallas,PIT,2008,8,,,,2,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin | Doug,SEA,2011,16,1,-2,,85,51,788,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin | Doug,SEA,2012,14,,,,50,29,366,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin | Jonathan,KCC,2011,11,,,,52,21,254,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin | Jonathan,KCC,2012,15,,,,47,20,325,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banks | Brandon,WAS,2010,13,2,6,,5,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banks | Brandon,WAS,2011,16,1,1,,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banks | Brandon,WAS,2012,12,7,36,,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banks | Gary,SD,2010,2,,,,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bannister | Alex,SEA,2004,2,,,,3,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barden | Ramses,NYG,2009,3,,,,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barden | Ramses,NYG,2010,6,,,,7,5,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barden | Ramses,NYG,2011,8,,,,19,9,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barden | Ramses,NYG,2012,12,,,,21,14,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baskett | Hank,PHI,2006,14,,,,45,22,464,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baskett | Hank,PHI,2007,16,,,,22,16,142,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baskett | Hank,PHI,2008,15,,,,51,33,440,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baskett | Hank,PHI,2009,12,,,,12,5,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baskett | Hank,PHI,2010,8,,,,4,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle | Arnaz,PIT,2010,15,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
